Company,Inches,RAM,Memory,OpSys,Weights,Price,X_res,Y_res,Gaming,Touchscreen,ppi,Cpu Brand,Gpu brand
ROKC,14,12,512,Windows,3.31,469.99,1920,1080,0,0,157.3505121,Intel Core i3,Intel 
ASUS,14,4,128,Chrome OS,5.16,249.99,1920,1080,0,0,157.3505121,Celeron Processor,Intel 
Acer,14,8,128,Chrome OS,3.42,399.99,1366,768,0,0,111.9352036,Pentium Processor,Intel 
Lenovo,14,16,256,Windows,4.37,178.9,1366,768,0,0,111.9352036,Intel Core i5,Intel 
ASUS,14,8,512,Windows,6,949.99,2880,1800,0,0,242.5880863,AMD Processor,Intel 
Lenovo,15.6,16,512,Windows,5.85,982.53,1920,1080,0,1,141.2119981,Intel Core i7,Intel 
ASUS,17.3,16,512,Windows,6.28,1485.98,1920,1080,1,0,127.3356746,Intel Core i7,NVIDIA
Acer,15.6,8,256,Others/Linux/Mac OS,7.43,779.99,1920,1080,0,0,141.2119981,AMD Processor,AMD
SAMSUNG,15.6,16,1024,Windows,5.77,1379,1920,1080,0,0,141.2119981,Intel Core i7,Intel 
Dell,15.6,16,1024,Windows,10,2349.99,1920,1200,0,0,145.1381713,Intel Core i7,NVIDIA
ASUS,15.6,16,512,Windows,5.28,1229.99,1920,1080,1,0,141.2119981,Intel Core i7,NVIDIA
ASUS,15.6,16,1024,Windows,4.9,1159,1920,1080,1,0,141.2119981,Intel Core i7,NVIDIA
ASUS,13.3,12,512,Windows,3.2,373,3200,1800,0,1,276.0535301,Intel Core i7,Intel 
Lenovo,11.6,4,32,Chrome OS,2.65,199,1366,768,0,1,135.0942112,Celeron Processor,Intel 
HP,14,4,100,Chrome OS,3.4,139.98,1366,768,0,0,111.9352036,Celeron Processor,Intel 
Lenovo,15.6,8,64,Chrome OS,5.59,299.99,1920,1080,0,0,141.2119981,Celeron Processor,Intel 
MSI,17.3,16,512,Windows,5.4,1473.89,3840,2160,1,0,254.6713491,Intel Core i7,NVIDIA
HP,13.5,16,256,Windows,4.64,888.99,1920,1280,0,0,170.9298382,Intel Core i7,Intel 
HP,14,16,512,Windows,3.02,963.9260148,1920,1080,0,0,157.3505121,AMD Processor,AMD
Lenovo,15.6,16,2048,Windows,7,1299,1920,1080,0,1,141.2119981,Intel Core i7,Intel 
HP,15.6,8,256,Windows,6.34,449,1920,1080,0,0,141.2119981,Athlon Processor,AMD
Lenovo,14,4,128,Windows,3.09,370.79,1366,768,0,0,111.9352036,Intel Core i7,Intel 
Lenovo,16,16,256,Windows,6.2,978.8,1920,1200,0,0,141.509717,AMD Processor,AMD
LG,17,32,2048,Windows,3.2,2099.99,2560,1600,0,0,177.5808213,Intel Core i7,Intel 
Acer,11.6,4,64,Chrome OS,2.87,155.5,1366,768,0,0,135.0942112,AMD Processor,AMD
Quality Refurbished Computers,15.6,8,1024,Windows,10.73,229.99,1920,1080,0,0,141.2119981,Intel Core i7,Intel 
Lenovo,15.6,16,1024,Windows,5.42,963.9260148,1920,1080,1,0,141.2119981,Intel Core i7,NVIDIA
Acer,11.6,4,32,Chrome OS,3.52,173.99,1366,768,0,1,135.0942112,Intel Core i7,Intel 
SAMSUNG,15.6,16,1024,Windows,2.31,1199.94,1920,1080,0,0,141.2119981,Intel Core i7,Intel 
ROKC,14,12,512,Windows,3.31,469.99,1920,1080,0,0,157.3505121,Intel Core i3,Intel 
MSI,15.6,16,512,Windows,4.96,1252.84,1920,1080,1,0,141.2119981,Intel Core i7,NVIDIA
ASUS,14,4,128,Chrome OS,5.16,249.99,1920,1080,0,0,157.3505121,Celeron Processor,Intel 
Acer,14,8,128,Chrome OS,3.42,399.99,1366,768,0,0,111.9352036,Pentium Processor,Intel 
ASUS,15.6,20,1024,Windows,3.97,963.9260148,1920,1080,0,1,141.2119981,Intel Core i3,Intel 
MSI,15.6,32,32,Windows,4.63,949.99,1920,1080,1,0,141.2119981,Intel Core i7,NVIDIA
HP,15.6,8,256,Windows,5.5,699,1920,1080,0,0,141.2119981,Intel Core i5,Intel 
HP,17.3,16,512,Windows,6.15,1498.99,1920,1080,0,0,127.3356746,Intel Core i7,NVIDIA
Generic,14,8,128,Chrome OS,6.59,349.99,1920,1080,0,1,157.3505121,AMD Processor,AMD
Intel,15.6,64,512,Others/Linux/Mac OS,4.37,1066.11,1920,1080,0,0,141.2119981,AMD Processor,NVIDIA
Evoo,11.6,4,64,Windows,5.4,150,1366,768,0,0,135.0942112,Intel Core i7,Intel 
HP,14,4,128,Windows,3.2,963.9260148,1366,768,0,0,111.9352036,Intel Core i3,Intel 
Dell,15.6,32,1024,Windows,8,963.9260148,1920,1080,0,0,141.2119981,Intel Core i5,Intel 
ASUS,16,16,1024,Windows,4.9,1899.99,2560,1600,1,0,188.6796226,Intel Core i9,NVIDIA
HP,13.5,16,256,Windows,3.5,1299.99,1920,1280,0,1,170.9298382,Intel Core i5,Intel 
ASUS,13.3,16,1024,Windows,2.87,963.9260148,1920,1080,0,0,165.6321181,Intel Core i7,Intel 
Lenovo,15.6,8,64,Chrome OS,5.59,299.99,1920,1080,0,0,141.2119981,Celeron Processor,Intel 
MSI,17.3,16,512,Windows,5.4,1473.89,3840,2160,1,0,254.6713491,Intel Core i7,NVIDIA
Acer,11.6,4,32,Chrome OS,2.2,209.89,1366,768,0,0,135.0942112,Intel Core i7,Intel 
HP,15.6,16,512,Windows,3,963.9260148,1920,1080,0,0,141.2119981,AMD Processor,AMD
HP,15.6,32,1024,Windows,7,963.9260148,1920,1080,0,1,141.2119981,Intel Core i7,Intel 
Lenovo,16,16,1024,Windows,3.74,899.99,1920,1200,0,0,141.509717,Intel Core i5,Intel 
HP,14,8,256,Windows,4.85,679,1920,1080,0,0,157.3505121,Intel Core i5,Intel 
Dell,14,16,1000,Windows,8,1504.01,1920,1080,0,0,157.3505121,Intel Core i5,Intel 
Acer,14,8,256,Chrome OS,5.45,749.27,1920,1080,0,1,157.3505121,AMD Processor,AMD
Dell,15.6,8,128,Windows,8,963.9260148,1366,768,0,0,100.4546699,Pentium Processor,Intel 
ASUS,15.6,32,1024,Windows,10,963.9260148,2560,1440,1,0,188.2826641,Intel Core i7,NVIDIA
MSI,15.6,32,1024,Windows,7.28,2269.99,1920,1080,1,0,141.2119981,Intel Core i7,Intel 
Dell,17,32,512,Windows,8.18,2840.77,1920,1200,0,0,133.185616,Intel Core i7,NVIDIA
Dell,15.6,16,1024,Windows,8,963.9260148,1920,1080,0,0,141.2119981,Intel Core i7,Intel 
Acer,15.6,8,128,Windows,3.64,299.99,1920,1080,0,0,141.2119981,Intel Core i7,Intel 
ROKC,14,12,512,Windows,3.31,469.99,1920,1080,0,0,157.3505121,Intel Core i3,Intel 
ASUS,14,4,128,Chrome OS,5.16,249.99,1920,1080,0,0,157.3505121,Celeron Processor,Intel 
Acer,14,8,128,Chrome OS,3.42,399.99,1366,768,0,0,111.9352036,Pentium Processor,Intel 
Best Notebooks,16,64,8192,Windows,4.14,6999,3840,2400,0,1,283.019434,Intel Core i9,NVIDIA
Dell,14,16,512,Windows,4.37,1598.99,1920,1080,0,0,157.3505121,Intel Core i7,Intel 
SAMSUNG,13,16,512,Windows,2.2,878,1920,1080,0,0,169.4543977,Intel Core i7,Intel 
Lenovo,14,16,2048,Windows,3,1500.29,1920,1200,0,0,161.7253908,AMD Processor,AMD
Lenovo,14,8,256,Windows,5,379.1,1920,1080,0,0,157.3505121,Intel Core i5,Intel 
Dell,17,16,512,Windows,4.65,2570.21,3840,2400,0,1,266.371232,Intel Core i7,NVIDIA
HP,15.6,16,1024,Windows,7.9,963.9260148,1920,1080,1,0,141.2119981,Intel Core i5,NVIDIA
Dell,13.3,8,256,Windows,4.15,859.99,1920,1080,0,0,165.6321181,Intel Core i7,Intel 
HP,17.3,20,1024,Windows,4.86,963.9260148,1920,1080,0,0,127.3356746,Intel Core i5,Intel 
HP,15.6,32,1024,Windows,5.1,599,1366,768,0,1,100.4546699,Intel Core i3,Intel 
Lenovo,16,32,1024,Windows,10.9,963.9260148,2560,1600,1,0,188.6796226,AMD Processor,NVIDIA
MSI,16,16,1024,Windows,11,963.9260148,2560,1600,1,0,188.6796226,Intel Core i7,NVIDIA
Lenovo,15.6,8,64,Chrome OS,5.59,299.99,1920,1080,0,0,141.2119981,Celeron Processor,Intel 
MSI,17.3,16,512,Windows,5.4,1473.89,3840,2160,1,0,254.6713491,Intel Core i7,NVIDIA
LG,17,32,1024,Windows,3.2,2146.99,2560,1600,0,0,177.5808213,Intel Core i7,NVIDIA
Dell,15.6,8,256,Windows,5.14,384.63,1366,768,0,1,100.4546699,Intel Core i3,Intel 
Microsoft,13.5,16,512,Windows,10.2,1499.99,1920,1080,0,0,163.1783089,Intel Core i5,Intel 
HP,15.6,16,512,Windows,4.8,589.95,1920,1080,0,0,141.2119981,Intel Core i7,Intel 
ASUS,17.3,8,512,Windows,5.05,999.99,1920,1080,0,0,127.3356746,AMD Processor,AMD
Dell,15.6,8,256,Windows,4.47,668.96,1399,768,0,0,102.3038565,Intel Core i3,Intel 
MSI,13.4,16,1024,Windows,2.97,1099.99,1920,1200,1,1,168.9668262,Intel Core i7,Intel 
HP,15.6,12,1024,Windows,5.32,549,1366,768,0,1,100.4546699,Intel Core i5,Intel 
Lenovo,16,32,1024,Windows,4,3099,2560,1600,0,0,188.6796226,Intel Core i9,NVIDIA
Acer,15.6,16,512,Windows,4.41,1599.99,1920,1080,1,0,141.2119981,Intel Core i7,NVIDIA
Acer,15.6,8,256,Windows,7.28,729,1920,1080,1,0,141.2119981,Intel Core i5,NVIDIA
LG,16,8,1024,Windows,6.54,963.9260148,2560,1600,0,0,188.6796226,Intel Core i7,Intel 
Acer,15.6,8,128,Windows,3.64,299.99,1920,1080,0,0,141.2119981,Intel Core i7,Intel 
Acer,16,32,1024,Windows,5.29,2999.99,2560,1600,1,0,188.6796226,Intel Core i9,Intel 
ASUS,14,4,128,Chrome OS,5.16,249.99,1920,1080,0,0,157.3505121,Celeron Processor,Intel 
Acer,14,8,128,Chrome OS,3.42,399.99,1366,768,0,0,111.9352036,Pentium Processor,Intel 
HP,15.6,16,512,Windows,7,963.9260148,1920,1080,0,1,141.2119981,AMD Processor,AMD
LG,16,16,1024,Windows,2.62,1199.49,2560,1600,0,0,188.6796226,Intel Core i7,Intel 
ASUS,11.6,4,32,Chrome OS,3.44,139.49,1366,768,0,0,135.0942112,Celeron Processor,Intel 
MSI,15.6,32,512,Windows,4.14,2999,1920,1080,1,0,141.2119981,Intel Core i7,NVIDIA
HP,17.3,32,1024,Windows,9,963.9260148,1920,1080,0,1,127.3356746,Intel Core i7,Intel 
Dell,15.6,8,500,Windows,5.1,187.24,1920,1080,0,0,141.2119981,Intel Core i7,Intel 
MSI,17.3,16,1024,Windows,9.52,1456.99,1920,1080,1,0,127.3356746,Intel Core i7,NVIDIA
Lenovo,15.6,16,512,Windows,4.02,959.81,1920,1080,0,0,141.2119981,Intel Core i7,Intel 
Lenovo,15.6,16,512,Windows,4,949,1920,1080,0,0,141.2119981,Intel Core i5,Intel 
Lenovo,15.6,8,256,Windows,3.96,618,1366,768,0,0,100.4546699,Intel Core i5,Intel 
Lenovo,14,8,512,Windows,2.99,714.99,1920,1080,0,0,157.3505121,Intel Core i7,Intel 
Dell,14,8,256,Windows,2.93,427,1920,1080,0,0,157.3505121,Intel Core i5,Intel 
Lenovo,15.6,8,64,Chrome OS,5.59,299.99,1920,1080,0,0,141.2119981,Celeron Processor,Intel 
MSI,17.3,16,512,Windows,5.4,1473.89,3840,2160,1,0,254.6713491,Intel Core i7,NVIDIA
HP,15.6,16,512,Windows,4.02,963.9260148,1920,1080,0,1,141.2119981,Intel Core i7,Intel 
Lenovo Group Limited,11.6,4,500,Windows,5.5,100,1920,1080,0,0,189.9057905,AMD Processor,AMD
Acer,15.6,16,512,Windows,5.51,1269,1920,1080,1,0,141.2119981,Intel Core i7,NVIDIA
HP,15.6,8,256,Others/Linux/Mac OS,4.37,429,1920,1080,0,0,141.2119981,Pentium Processor,Intel 
Lenovo,15.6,16,512,Windows,10,963.9260148,1920,1080,1,0,141.2119981,Intel Core i7,NVIDIA
