Company,Inches,RAM,Memory,OpSys,Weights,Price,X_res,Y_res,ppi,Gaming,Touchscreen,Cpu Brand,Gpu brand
MSI,17.3,16,1024,Windows,5.72,1182.8,1920.0,1080.0,127.33567457123111,1,0,Intel Core i7,NVIDIA
HP,17.3,16,16,Others/Linux/Mac OS,11.03,1699.99,1920.0,1080.0,127.33567457123111,0,0,Intel Core i7,Intel 
Lenovo,15.6,8,256,Windows,4.84,699.99,1920.0,1080.0,141.21199808219862,0,0,AMD Processor,AMD
Dell,15.6,16,1024,Windows,8,699.99,1920.0,1080.0,141.21199808219862,0,0,Intel Core i7,Intel 
Acer,15.6,8,128,Windows,8,699.99,1920.0,1080.0,141.21199808219862,0,0,Intel Core i3,Intel 
Acer,11.0,4,512,Chrome OS,1,300.29,1366.0,768.0,142.46298634852087,0,0,Intel Core i7,Intel 
HP,11.6,4,32,Windows,3.63,176.47,1920.0,1080.0,189.90579052433606,0,0,Intel Core i7,Intel 
Goldengulf,10.1,2,32,Windows,3.09,218.86,1280.0,800.0,149.44920605238187,0,0,Intel Core i7,Intel 
ASUS,17.3,32,1024,Windows,11.62,2499.99,2560.0,1440.0,169.78089942830815,1,0,Intel Core i9,Intel 
Core Innovations,11.6,4,512,Windows,2.3,199.99,1366.0,768.0,135.0942111925629,0,1,Celeron Processor,Intel 
Dell,15.6,16,512,Windows,6.4,1643.06,1920.0,1080.0,141.21199808219862,0,0,Intel Core i5,Intel 
Dell,14.0,8,256,Windows,2.11,159.99,1366.0,768.0,111.93520355955211,0,0,Intel Core i5,Intel 
Toughbook,13.1,16,512,Windows,3.9,1424.0,1366.0,768.0,119.62540838425417,0,1,Intel Core i7,Intel 
HP,15.6,32,1024,Windows,3.86,969.99,1920.0,1080.0,141.21199808219862,0,1,Intel Core i7,Intel 
Lenovo,14.0,16,512,Windows,6.15,1672.13,1920.0,1200.0,161.72539083525606,0,1,Intel Core i7,Intel 
HP,14.0,4,64,Chrome OS,3.64,239.0,1366.0,768.0,111.93520355955211,0,1,Celeron Processor,Intel 
HP,15.0,16,512,Windows,5.25,683.93,1920.0,1080.0,146.86047800548656,0,0,Intel Core i5,Intel 
Acer,15.6,8,256,Windows,8,699.99,1920.0,1080.0,141.21199808219862,0,0,Intel Core i7,AMD
