Company,Name,Inches,Screen_Resolution,CPU,RAM,Memory,GPU,OpSys,Weights,Price
Lenovo,"Lenovo ThinkPad T450 14"" Laptop, Intel Core i5 5300U 2.3Ghz, 16GB DDR3 RAM, 256GB SSD Hard Drive, Webcam, Windows 10",14 Inches,‎1366x768,Core i5 5300U,16 GB,256 GB,‎Intel HD 5500,‎Windows 10 Home,,$178.90 
HP,"HP EliteBook 850 G2 15.6in Laptop, Core i5-5300U 2.3GHz, 8G RAM, 256GB Solid State Drive, Windows 10 Pro 64Bit (Renewed)",15.6 Inches,,‎2.3 GHz,8 GB,256 GB,‎Intel HD Graphics 520,‎Windows 10 Pro,‎4.14 pounds,$242.16 
Lenovo,"Lenovo Ideapad 1 Laptop, 15.6"" HD Screen, AMD Athlon Silver 3050U, 20GB RAM, 1TB PCIe SSD + 128GB eMMC, Webcam, HDMI, Type-C, Wi-Fi 6, Media Card Reader, Windows 11 Home",15.6 Inches,‎1366 x 768 Pixels,Athlon Silver 3050U,20 GB,1 TB,‎AMD Radeon Vega 3,‎Windows 11 Home,‎3.78 pounds,From $379.00
Lenovo,"Lenovo Chromebook Duet, 2-in-1, 10.1"" WUXGA (1920 x 1200) Display, MediaTek Helio P60T, 4GB LPDDR4X RAM, 64GB eMCP SSD, Integrated ARM G72 MP3 Graphics, Chrome OS, ZA6F0031US, Ice Blue + Iron Grey",10.1 Inches,‎1920 x 1200 Pixels,MediaTek Helio P60T,4 GB,64 GB,‎Integreted,‎Chrome OS,‎15.8 ounces,$329.99 
HP,"HP Chromebook 14 Laptop, Dual-core Intel Celeron Processor N3350, 4 GB RAM, 32 GB eMMC Storage, 14-inch FHD IPS Display, Google Chrome OS, Dual Speakers and Audio by B&O (14-ca051nr, 2020)",14 Inches,‎1920 x 1080 Pixels,Celeron N3350,4 GB,32 GB,‎Intel HD Graphics 500,‎Chrome OS,‎3.58 pounds,$278.00 
HP,"HP 2022 Envy X360 15.6"" FHD IPS Touchscreen 2-in-1 Laptop 12th Intel Core i7-1260P Iris Xe Graphics 32GB DDR4 1TB SSD Thunderbolt 4 WiFi 6E Backlit KB FP Reader Win 11 Pro Stylus Pen w/ RATZK 32GB",15.6 Inches,‎1920 x 1080 Pixels,Core i7 Family,32 GB,1 TB,‎Intel Iris Xe Graphics,‎Windows 11 Pro,‎8 pounds,
Acer,"Acer Nitro 5 AN515-55-53E5 Gaming Laptop | Intel Core i5-10300H | NVIDIA GeForce RTX 3050 GPU | 15.6"" FHD 144Hz IPS Display | 8GB DDR4 | 256GB NVMe SSD | Intel Wi-Fi 6 | Backlit Keyboard",15.6 Inches,‎1920x1080,Core i5,8 GB,256 GB,‎NVIDIA GeForce RTX 3050,‎Windows 11 Home,‎5.07 pounds,$753.99 
HP,"HP ZBook Studio G9 16"" Mobile Workstation - WQUXGA - 3840 x 2400 - Intel Core i9 12th Gen i9-12900HK Tetradeca-core (14 Core) 2.50 GHz - 32 GB Total RAM - 1 TB SSD",16 Inches,‎3840 x 2400 Pixels,Core i9,32 GB,1 TB,‎NVIDIA Intel RTX A3000 Iris Xe Graphics,‎Windows 11 Pro,‎6.74 pounds,"$3,799.00 "
MSI,"MSI Creator 17M A10SE-216 17. 3"" 144Hz FHD Creator Laptop Intel Core i7-10750H RTX 2060 16GB 1TB NVMe SSD Win10PRO",17.3 Inches,,Intel Core i7,16 GB,1 TB,,,,
Alienware,"Alienware AAW17R4-7002SLV-PUS 17"" Laptop (7th Generation Intel Core i7, 8GB RAM, 1TB HDD, Silver) with NVIDIA GTX 1060",17.3 Inches,‎1920X1080 Pixels,‎3.8 GHz,8 GB,1000 GB,‎NVIDIA GeForce GTX 1060,‎Windows 10,‎9.7 pounds,
