Company,Name,Inches,Screen_Resolution,CPU,RAM,Memory,GPU,OpSys,Weights,Price
ASUS,"ASUS ROG Flow Z13 (2022) Gaming Laptop Tablet, 13.4"" 120Hz IPS Type FHD 16:10 Display, Intel Core i5-12500H, 16GB LPDDR5, 512GB PCIe SSD, Detachable RGB Keyboard, Windows 11, GZ301ZA-PS53","13.4""",1920 x 1200,Intel Core i5 12th Gen,16GB,512 GB PCIe,Intel Iris Xe Graphics,Windows 11 Home 64-bit,2.47 lbs.,"$1,099.99 –"
MSI,"MSI Laptop Intel Core i7 11th Gen 11800H (2.30GHz) 32GB Memory 1 TB NVMe SSD NVIDIA GeForce RTX 3060 Laptop GPU 16.0"" Touchscreen Windows 10 Pro 64-bit Creator Z16 A11UET-013","16.0""",2560 x 1600,Intel Core i7 11th Gen,32GB,1 TB NVMe,NVIDIA GeForce RTX 3060 Laptop GPU,Windows 10 Pro 64-bit,5.07 lbs.,"$1,799.00 "
Lenovo,"Lenovo IdeaPad Slim 5i Laptop 82XF002SUS Intel i7-1355U 16GB RAM 1TB  SSD 16.0"" Windows 11 Home Intel Iris Xe Graphics","16.0""",1920 x 1200,Intel Core i7 13th Gen,16GB,1 TB PCIe,Intel Iris Xe Graphics,Windows 11 Home 64-bit,4.16 lbs.,$949.99 
Microsoft,"Microsoft Surface Pro X 13"" 2-in-1 Touchscreen with LTE, Microsoft SQ1 3.0GHz, 8GB RAM, 128GB SSD, Windows 10 Home, Free Upgrade to Windows 11, Matte Black","13""",,,,,,,,$479.99 
ASUS,"2023 ASUS VivoBook 17X 17.3"" Full HD IPS Home & Business Laptop (AMD Ryzen 7 5800H 8-Core, AMD Radeon, 24GB RAM, 2TB PCIe SSD, Backlit KB, WiFi 6, Bluetooth 5.2, HDMI, Webcam, Win 11 Home)","17.3""",1920 x 1080,AMD Ryzen 7,24GB,2 TB,AMD Radeon Graphics,Windows 11 Home,,$839.99 
ASUS,"ASUS VivoBook 16 Laptop, 16"" WUXGA (1920 x 1200) 16:10 Display, AMD Ryzen 5 7530U CPU, AMD Radeon Graphics, 8GB RAM, 512GB SSD, Fingerprint Sensor, Windows 11 Home, Indie Black, M1605YA-ES52","16.0""",1920 x 1200,AMD Ryzen 5 7000 Series,8GB,512 GB PCIe,AMD Radeon Graphics,Windows 11 Home 64-bit,4.14 lbs.,$599.99 
,"New Dell Inspiron Laptop 15.6"" Full HD Touch Screen Intel core i5-1135G7 32GB DDR4 RAM 1TB NVMe SSD Windows 11 Pro Black","15.6""",,Intel Core i5 11th Gen,32GB,1 TB,Intel UHD Graphics,Windows 11 Pro,,$699.89 
MSI,"MSI SUMMIT E13FLIP EVO 13.4"" FHD+ 120hz Touch Ultra Thin and Light Professional 2 in 1 Laptop Intel® Core™ i7-1360P Iris Xe 32GB LPDDR5 1TB NVMe SSD Win 11 Pro with MSI Pen,  A13MT-220US","13.4""",1920 x 1200,Intel Core i7 13th Gen,32GB,1 TB NVMe,Intel Iris Xe Graphics,Windows 11 Pro 64-bit,2.98 lbs.,"$1,699.00 "
ASUS,"ASUS VivoBook 15 OLED K513 Laptop, 15.6"" OLED Display, Intel i7-1165G7 CPU, NVIDIA GeForce MX350 GPU, 8GB RAM, 512GB PCIe SSD, Fingerprint Reader, Windows 10 Home, Indie Black, K513EQ-NB74","15.6""",1920 x 1080,Intel Core i7 11th Gen,8GB,512 GB PCIe,NVIDIA GeForce MX350,Windows 10 Home 64-bit🙋‍♀️Microsoft Windows 11 Pro Upgrade ‍👉Check ABS/Helix computers with Windows 11,3.97 lbs.,$919.99 
MSI,"MSI PRESTIGE 16 EVO 16"" QHD+ 165hz Ultra Thin 2-in-1 Professional Laptop Intel® Core™ i7-13700H Iris Xe 32GB LPDDR5 1tB NVMe SSD Win 11 Pro, A13M-259US","16.0""",2560 x 1600,Intel Core i7 13th Gen,32GB,1 TB NVMe,Intel Iris Xe Graphics,Windows 11 Pro 64-bit,4.19 lbs.,"$1,499.00 "
ASUS,"ASUS ZenBook Pro 15 OLED Laptop 15.6"" FHD Touch Display, AMD Ryzen 9 5900HX CPU, NVIDIA GeForce RTX 3050 Ti GPU, 16GB RAM, 1TB PCIe SSD, Windows 11 Pro, Pine Grey, UM535QE-XH91T","15.6""",1920 x 1080,AMD Ryzen 9 5000 Series,16 GB LPDDR4X,1 TB PCIe,NVIDIA GeForce RTX 3050 Ti Laptop GPU,Windows 11 Pro 64-bit,4.41 lbs.,"$1,478.99 "
LG,"LG GRAM Laptop Intel Core i7 12th Gen 1260P (2.10GHz) 16GB Memory 1 TB PCIe SSD Intel Iris Xe Graphics 17.0"" Windows 11 Pro 17Z90Q-N.APB7U1","17.0""",2560 x 1600,Intel Core i7 12th Gen,16GB,1 TB PCIe,Intel Iris Xe Graphics,Windows 11 Pro,2.98 lbs.,"$1,419.99 "
